circ_mv,close,float_share,free_share,index,level_0,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,trade_date,ts_code,turnover_rate,turnover_rate_f,volume_ratio
229911.86899999998,4.97,46259.9334,37139.3336,2410,,1.4507,9.9941,6.1632,2.4615,1.5453,252070.0812,50718.3262,20080912,000006.SZ,0.5376,0.6696,0.74
483665.1479,9.83,49202.9652,39687.6489,2185,,2.7075,33.1888,215.9142,4.8795,7.2259,498561.1465,50718.3262,20090901,000006.SZ,1.0331,1.2808,0.66
400088.9117,5.4,74090.5392,57296.5513,2015,,1.9758,12.5899,13.5779,2.2216,2.113,410818.4422,76077.4893,20100521,000006.SZ,1.5558,2.0118,1.4
1705754.9602,12.74,133889.7143,87989.8959,765,,4.1172,33.8541,25.3323,7.3855,4.9779,1719893.6886,134999.5046,20150724,000006.SZ,5.5606,8.4613,1.27
1251607.7442,9.33,134148.74,88248.9216,720,,2.9746,24.7927,17.5676,5.4087,3.2632,1259545.3779,134999.5046,20150929,000006.SZ,1.2902,1.9612,0.55
935016.7178,6.97,134148.74,88248.9216,640,,2.1373,18.5215,22.0771,4.0406,2.5807,940946.5471,134999.5046,20160127,000006.SZ,2.2482,3.4175,1.9
68342.8655,8.59,7956.0961,7956.0961,3510,,17.5766,,,23.6517,40.8048,123346.9574,14359.3664,20011025,000007.SZ,1.8419,1.8419,3.2
49327.7958,6.2,7956.0961,7956.0961,3450,,15.9119,,,17.0711,29.4517,89028.0717,14359.3664,20020124,000007.SZ,2.9819999999999998,2.9819999999999998,3.63
38268.8222,4.81,7956.0961,7956.0961,3030,,3.1509,31.4635,251.4899,3.0384,2.7643,69068.5524,14359.3664,20031112,000007.SZ,0.5357,0.5357,0.83
33256.4817,4.18,7956.0961,7956.0961,2845,,2.8282,40.0995,,1.7944,2.3573,60022.1516,14359.3664,20040819,000007.SZ,0.6263,0.6263,0.83
61675.6566,5.1,12093.266000000001,12093.266000000001,2190,,,,,4.8008,4.7599,94332.3351,18496.5363,20070627,000007.SZ,7.4153,7.4153,1.58
52847.5724,4.37,12093.266000000001,12093.266000000001,2175,,,,,4.1137,4.0786,80829.8636,18496.5363,20070718,000007.SZ,2.4261,2.4261,0.89
49941.9023,3.45,14475.9137,12093.266000000001,1905,,,55.2305,49.5886,3.4436,3.2287,63813.0502,18496.5363,20080925,000007.SZ,3.7052,4.4352,2.65
41835.3906,2.89,14475.9137,12093.266000000001,1885,,,46.2656,,2.8847,2.9283,53454.9899,18496.5363,20081030,000007.SZ,1.4067,1.6838,1.58
359521.1799,17.47,20579.3463,15207.1341,405,,10.6949,288.2901,152.1074,40.7731,50.7887,403496.4892,23096.5363,20160725,000007.SZ,4.4455,6.016,0.61
268784.7983,8.7,30894.8044,16754.8706,105,,8.0193,183.1872,,76.0291,74.7713,301409.7983,34644.8044,20180927,000007.SZ,0.1378,0.254,0.15
235418.4095,7.62,30894.8044,16754.8706,90,,7.0238,160.4467,,66.59100000000001,65.4893,263993.4095,34644.8044,20181025,000007.SZ,14.8226,27.3319,1.46
226149.9682,7.32,30894.8044,21655.4123,80,,6.7043,154.1299,,63.9693,67.0091,253599.9682,34644.8044,20181108,000007.SZ,9.6794,13.8091,1.04
173319.8527,5.61,30894.8044,21655.4123,25,,5.1381,118.1241,,49.0257,51.3554,194357.3527,34644.8044,20190128,000007.SZ,3.9117,5.5806,1.06
211600.3003,3.65,57972.685,57972.685,3950,,2.77,94.0707,123.8573,5.4896,4.8819,349965.6653,95881.0042,20020121,000009.SZ,0.2859,0.2859,1.15
558765.3721,7.49,74601.5183,57972.685,2505,,4.5965,33.772,28.3067,3.9932,3.6885,778068.7109999999,103881.0028,20080527,000009.SZ,1.5854,2.0401,0.64
377483.6826,5.06,74601.5183,57972.685,2485,,3.1053,22.8152,19.1231,2.6977,2.4919,525637.8742,103881.0028,20080625,000009.SZ,3.685,4.7421,1.56
357341.2727,4.79,74601.5183,57972.685,2480,,2.9396,21.5978,18.1027,2.5537,2.3589,497590.0034,103881.0028,20080703,000009.SZ,2.3472,3.0205,0.81
344659.0145,4.62,74601.5183,57972.685,2470,,2.8352,20.8313,17.4602,2.4631,2.2752,479930.2329,103881.0028,20080717,000009.SZ,1.6949,2.1811,0.54
274533.5873,3.68,74601.5183,57972.685,2445,,2.2159999999999997,16.5929,14.0458,1.9619,1.6178,382282.0903,103881.0028,20080821,000009.SZ,1.133,1.4580000000000002,1.3
246185.0104,3.3,74601.5183,57972.685,2430,,1.9872,14.8795,12.5954,1.7593,1.4507,342807.3092,103881.0028,20080911,000009.SZ,0.4729,0.6085,0.67
940690.1039,9.52,98811.9857,85805.5471,2200,,5.6085,51.821000000000005,50.4435,3.5903,3.0281,1038394.5036,109075.0529,20090902,000009.SZ,1.5881,1.8288,0.58
1214367.4013,11.25,107943.769,89650.8307,1650,,4.6716,37.7015,40.4951,3.8147,3.5103,1227094.3451,109075.0529,20111227,000009.SZ,3.3702,4.0578,1.31
1029783.5563,9.54,107943.769,89650.8307,1645,,3.9615,31.9709,34.3398,3.2348,2.9768,1040576.0047,109075.0529,20120105,000009.SZ,2.7452,3.3054,1.14
1649063.6516,11.07,148966.9062,121607.9148,860,,4.7699,58.1048,61.8815,4.0878,3.9781,1762462.8763,159210.7386,20150825,000009.SZ,4.0349,4.9427,1.12
1476262.0404,9.91,148966.9062,121222.9148,845,,4.223,52.0161,82.3256,3.6595,3.5122,1577778.4195,159210.7386,20150917,000009.SZ,5.4909,6.7476,1.15
1829313.6081,12.28,148966.9062,121129.7748,765,,4.3746,64.4559,27.057,4.5347,4.0894,1955107.87,159210.7386,20160115,000009.SZ,3.6934,4.5421,0.85
1765257.8385,11.85,148966.9062,121129.7748,755,,4.2214,62.1989,26.1095,4.3759,3.9462,1886647.2524,159210.7386,20160129,000009.SZ,5.7563,7.0791,1.52
49557.3,7.31,6779.3844,4950.0874,3165,,6.9946,53.8892,45.0173,2.0152,2.0269999999999997,107469.7545,14701.7448,20020124,000010.SZ,1.1886,1.6279,1.61
15253.6149,2.25,6779.3844,4950.0874,2335,,2.2295,,,1.3464,1.3036,33078.9258,14701.7448,20050721,000010.SZ,0.7981,1.0931,0.73
61285.635,9.04,6779.3844,4950.0874,1935,,16.1598,319.4567,219.7606,12.6525,13.0812,132903.77300000002,14701.7448,20070628,000010.SZ,6.412999999999999,8.7829,2.03
59455.2012,8.77,6779.3844,4950.0874,1925,,15.6771,309.9154,213.1969,12.2746,12.6905,128934.3019,14701.7448,20070712,000010.SZ,5.2292,7.1616,1.6
56133.3028,8.28,6779.3844,4950.0874,1860,,18.518,,,9.379,9.0862,121730.4469,14701.7448,20080430,000010.SZ,2.1108,2.8909,0.25
60946.6658,8.99,6779.3844,4950.0874,1850,,20.1059,,,10.1833,9.8654,132168.6858,14701.7448,20080516,000010.SZ,2.09,2.8624,0.72
40133.9556,5.92,6779.3844,4950.0874,1805,,14.0535,,,6.7058,6.504,87034.3292,14701.7448,20080820,000010.SZ,1.6705,2.2878,1.66
27388.713,4.04,6779.3844,4950.0874,1785,,9.5906,,,4.5762,4.4386,59395.049000000006,14701.7448,20080918,000010.SZ,0.9301,1.2738,1.39
27998.8576,4.13,6779.3844,4950.0874,1765,,13.1457,,,4.6782,4.0876,60718.206,14701.7448,20081023,000010.SZ,0.4783,0.6551,0.79
317327.4989,8.86,35815.7448,31945.6461,875,,9.5736,,,22.624000000000002,15.1525,521029.8322,58806.9788,20150727,000010.SZ,7.8404,8.7903,0.7
270408.8732,7.55,35815.7448,31945.6461,870,,8.1581,,,19.2789,12.9121,443992.6899,58806.9788,20150803,000010.SZ,7.1762,8.0456,0.94
260667.2221,6.39,40792.9925,31925.1998,835,,6.8556,,,16.3169,7.1005,375776.5945,58806.9788,20151008,000010.SZ,3.8062,4.8634,1.07
256386.2055,4.91,52217.1498,52217.1498,435,,1.8381,100.9473,85.5109,3.821,3.8808,402548.6641,81985.4713,20170526,000010.SZ,1.7167,1.7167,0.92
49534.0846,5.42,9139.13,9139.13,3945,,10.2619,54.6714,53.512,4.462,4.5356,293655.1529,54179.9175,20020123,000011.SZ,2.4559,2.4559,2.44
89654.8653,9.81,9139.13,9139.13,2760,,8.9755,,,16.4539,18.0204,531504.9907,54179.9175,20070705,000011.SZ,2.2621,2.2621,0.78
59038.7798,6.46,9139.13,9090.5401,2565,,6.1849,,,10.511,10.511,350002.2671,54179.9175,20080424,000011.SZ,1.7107,1.7199,1.5
33723.3897,3.69,9139.13,9090.5401,2460,,3.6014,,,6.004,6.2557,199923.8956,54179.9175,20080926,000011.SZ,0.9466,0.9517,0.98
29245.216,3.2,9139.13,9090.5401,2445,,3.1231,,,5.2067,5.425,173375.736,54179.9175,20081024,000011.SZ,1.7622,1.7716,2.67
101169.8038,7.24,13973.7298,13973.7144,2110,,6.4942,44.5137,53.0763,5.1042,5.4118,431488.8626,59597.9092,20100525,000011.SZ,3.443,3.443,0.76
219828.2825,12.5,17586.2626,14606.3672,880,,3.8315,17.8437,19.0955,5.8731,6.1606,744973.865,59597.9092,20150728,000011.SZ,12.1061,14.575999999999999,1.03
190459.224,10.83,17586.2626,14606.3672,845,,3.2741,15.4598,19.1762,5.0885,5.8367,645445.3566,59597.9092,20150917,000011.SZ,21.0545,25.3499,1.92
172872.9614,9.83,17586.2626,14606.3672,765,,2.9518,14.0323,41.5999,4.6186,5.3652,585847.4474,59597.9092,20160115,000011.SZ,3.3337,4.0138,1.0
54493.9096,3.39,16074.8996,10716.5997,3245,,1.5554,10.1541,11.1482,1.8292,1.8157,344241.999,101546.3124,20050602,000012.SZ,1.0649,1.5973,1.22
489041.8569,9.06,53978.1299,37193.4516,2495,,2.4066,25.9758,16.1961,2.6763,2.4949,1120815.4303,123710.3124,20080919,000012.SZ,0.7954,1.1544,1.43
