ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh
300561.SZ,11.26,48,37.0916,107.0074,2.8662,6.4818,1.0141,35.046,7.9414,19.8809,191881.7771,431390.2823
300562.SZ,9.63,24.07,45.3676,371.0328,3.4425,9.2478,1.0147,18.1005,2.3261,5.3426,182774.8471,454441.6
300563.SZ,21.09,32.26,42.1374,64.8317,3.7192,5.6896,0.8277,51.8145,4.8612,7.9804,168720,258080
300565.SZ,10.61,27.71,43.1007,196.528,2.9845,5.8779,0.8509,49.7708,3.2647,6.5879,220688,443360
300566.SZ,11.29,41.88,28.4172,86.5767,3.5936,7.1582,0.3066,33.3589,1.9879,7.7207,175221.3645,520916.004
300567.SZ,45.09,168.14,30.3626,82.3893,7.3243,16.4972,0.4755,7.5207,5.8648,15.3578,737735.526,1421805.66
300568.SZ,19.01,42.21,19.6836,61.6045,2.537,6.2405,0.7358,12.6271,6.6969,14.1391,364992,810432
300569.SZ,10.38,26,19.8099,43.91,0.9232,2.3593,0.4762,7.5587,1.6274,5.7945,155712.456,390031.2
300570.SZ,14.5,24.16,27.8797,52.704,2.9612,4.7314,0.8697,46.1236,5.8939,10.7722,333495.36,555672.2688
300571.SZ,35.34,100.18,19.8885,74.7057,8.5132,22.6635,0.9697,17.0268,4.459,9.095,371360,851015.193
300572.SZ,38.96,100.5,44.3494,79.1158,7.1014,13.7347,0.2236,4.3417,10.122,17.5056,391485.534,923787.4932
300573.SZ,13.89,27.92,30.5908,154.3838,2.1026,4.0405,0.4279,16.3196,2.842,6.1913,111120,223360
300575.SZ,31.07,65.67,15.3664,31.6887,2.1348,4.0236,0.6579,32.9981,1.5794,2.9196,227898.45,481689.45
300576.SZ,12.14,19.73,38.9419,65.5785,3.5121,5.7014,0.8659,23.9267,3.7011,6.3936,145680,236760
300577.SZ,27.8,80.84,37.2951,73.3383,10.6612,20.1892,0.2324,3.5504,3.328,8.1778,605139.2244,990605.5614
