,ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh,close,closerate,pe_ttm,pe_ttmrate,pb,pbrate,turnover_rate_f,turnover_rate_frate,ps_ttm,ps_ttmrate,total_mv,total_mvrate
0,000001.SZ,8.6,14.8,6.265,11.033,0.7241,1.2824,0.39299999999999996,4.3963,1.3837,2.4069,14766553.77,25412208.82,14.75,99.19354838709677,17.1445,228.17743288590603,2.4439,308.042271180369,1.6668,31.8187495316364,1.1002,-27.707193119624694,912809.9155,-130.135194024533
1,000002.SZ,20.59,41.13,7.6088,19.0364,1.685,3.9016,0.2648,2.5509,0.8145,1.8877,22729613.97,45404032.18,38.46,87.00097370983445,53.3503,400.27214813259116,4.0788,107.9942253902373,11.0489,471.7247714448187,6.143,496.5057771151696,440414.5058,-98.3010865274148
2,000004.SZ,15.0,23.8,86.7522,217.6191,9.881,17.320999999999998,0.1945,9.9945,3.8904,14.1647,125965.026,199864.5079,19.25,48.29545454545454,47.518,-29.98023182332584,1.9506,-106.59139784946241,4.3976,42.88877551020408,2.1771,-16.67558860457647,433177.6391,415.7168699987868
3,000005.SZ,2.53,4.41,64.9828,246.6042,2.0126,3.6864,0.2222,9.6987,4.4552,10.4762,267809.821,466814.7473,11.08,454.7872340425531,15.1246,-27.451720997635743,1.6865,-19.482614410323805,3.7407,37.12868675143777,1.3116,-52.210596246470665,369859.1266,51.27978864511156
4,000006.SZ,4.67,9.85,6.4861,15.2196,1.0985,2.6533,0.4521,14.9115,2.5639,4.4830000000000005,630447.6865,1329745.12,8.95,82.62548262548262,43.2954,421.47249098299653,2.6563,100.19295086184717,3.2818,19.56996832510339,4.31,90.98535771976442,256161.6016,-53.52316009894235
5,000007.SZ,4.8,17.37,59.7303,605.3271,4.3963,16.2315,0.1469,38.7526,43.9404,142.3793,166295.0611,601780.2542,7.82,24.025457438345267,38.6082,-3.8713753453099438,2.9414,-12.29299040151413,3.867,9.636141813255556,3.2966,-41.28835247041566,556806.5216,89.67272979366885
6,000008.SZ,4.46,4.7,14.1674,14.9297,1.7906,1.8869,2.728,6.984,4.6955,4.9482,1240234.7240000002,1306973.813,19.71,6354.166666666661,74.2169,7877.410468319562,1.6685,-126.79127725856678,2.8224,2.2180451127819505,1.6073,-1222.0815195884452,550678.1433,-1033.2124561963994
7,000009.SZ,3.62,7.64,46.3046,308.9998,1.5313,3.5312,0.2622,9.0292,0.9238,2.3142,778062.8795,1642099.5580000002,18.87,379.3532338308458,23.7429,-8.588546726396219,3.5431,100.59502975148757,4.0227,42.89380631915137,4.3813,248.66944764096664,225081.36,-63.99977376654849
8,000010.SZ,2.87,6.2,106.309,166.0242,1.4606,4.0215,0.1452,10.717,3.3027,12.7045,235298.3026,508309.9221,4.38,45.345345345345336,19.3037,-145.7004246824929,0.9965,-18.12253504627279,7.1968,66.7019807412172,1.5381,-18.768746410261866,413325.2739,65.20856937372952
9,000011.SZ,8.37,18.46,9.0011,36.3233,1.765,3.8216,0.8652,17.1963,2.0193,4.7811,498834.5,1100177.404,6.4,-19.524281466798797,40.4768,115.20192371038934,2.6448,42.77934454925605,10.1497,56.85165114413604,2.2641,8.863784488377147,353650.7014,-24.14326295933143
