ts_code,index,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,droprate,symbol,name,area,industry,market,list_date
002451.SZ,0,20190322,12.81,3.167,8.1508,0.76,94.9944,676.7064,8.514,12.0354,9.6171,43920.0,41639.97,16179.57,562615.2,533408.0157,0.16055045871559634,002451,摩恩电气,上海,电气设备,中小板,20100720
002458.SZ,0,20190322,40.39,11.2538,13.1691,0.86,37.556,37.556,8.5425,9.2503,9.2503,33737.8701,20881.3289,17844.3693,1362672.5733,843396.8743,0.18895582332603944,002458,益生股份,山东,农业综合,中小板,20100810
002477.SZ,0,20190322,2.48,5.7352,7.2254,0.55,172.0603,,4.157,1.3645,1.9661,313515.963,197067.6602,156424.0784,777519.5882,488727.7973,0.21766561517433178,002477,雏鹰农牧,河南,农业综合,中小板,20100915
002519.SZ,0,20190322,4.83,4.0974,6.2159,1.32,29.0499,,2.1823,3.3492,3.5762,112643.0898,83154.7845,54814.8554,544066.1237,401637.6091,0.18135593222991292,002519,银河电子,江苏,通信设备,中小板,20101207
002547.SZ,0,20190322,7.97,8.0836,8.2078,0.85,,221.7622,3.301,2.3632,1.8312,112805.7168,79767.8418,78560.3418,899061.5629,635749.6991,0.16193480548919845,002547,春兴精工,江苏,通信设备,中小板,20110218
002600.SZ,0,20190322,6.37,12.0235,12.7469,0.69,30.9495,,4.4137,2.7301,1.9311,682525.8976,148789.1022,140345.5322,4347689.9677,947786.581,0.20275344180094462,002600,领益智造,广东,元器件,中小板,20110715
002609.SZ,0,20190322,8.26,2.8235,3.7775,0.7,25.5405,56.9847,2.8513,5.6186,5.7628,64588.4741,37935.0253,28353.8006,533500.7961,313343.309,0.16545652500606345,002609,捷顺科技,深圳,软件服务,中小板,20110815
002668.SZ,0,20190322,6.21,8.8835,9.5476,0.91,17.6474,,2.7225,0.9667,0.8579,108411.1428,65430.1347,60879.3869,673233.1968,406321.1365,0.17965653895899314,002668,奥马电器,广东,家用电器,中小板,20120416
002670.SZ,0,20190322,13.03,4.3998,6.4807,0.83,43.4246,,2.21,39.6204,20.8887,193508.4653,62767.5948,42613.6242,2521415.3029,817861.7602,0.16474358973554168,002670,国盛金控,广东,证券,中小板,20120416
002680.SZ,0,20190305,1.51,9.5124,14.0981,1.15,2.5964,2.6534,0.3925,0.9465,0.9121,97369.0378,58081.6828,39189.331,147027.2471,87703.341,0.5962566844626092,002680,*ST长生,江苏,生物制药,中小板,20120605
002689.SZ,0,20190322,5.26,1.772,4.2476,0.65,153.5681,586.0563,4.0034,4.6534,4.4434,104331.0725,104082.0509,43421.3949,548781.4414,547471.5877,0.20423600595008679,002689,远大智能,辽宁,运输设备,中小板,20120717
002726.SZ,0,20190322,9.14,0.9635,3.1067,0.83,36.7089,39.6325,3.3964,1.0507,0.7867,75554.8,75032.2011,23271.1511,690570.872,685794.3181,0.15509492423191754,002726,龙大肉食,山东,食品,中小板,20140626
002746.SZ,0,20190322,24.26,7.25,12.6892,0.75,73.5462,18.6577,3.0635,3.4656,2.9092,30912.8341,24232.0891,13845.1741,749945.3553,587870.4816,0.17762711865187392,002746,仙坛股份,山东,农业综合,中小板,20150216
002765.SZ,0,20190322,8.44,6.6111,10.2853,0.49,28.3136,1323.8073,2.8729,2.926,4.0894,42125.14,25489.375,16383.655,355536.1816,215130.325,0.2141527001862197,002765,蓝黛传动,重庆,汽车配件,中小板,20150612
002786.SZ,0,20190322,9.42,4.7572,12.3147,3.15,55.6364,84.0197,3.1515,1.2364,1.1927,38124.0,38124.0,14727.4,359128.08,359128.08,0.15439856373429078,002786,银宝山新,深圳,专用机械,中小板,20151223
002806.SZ,0,20190322,21.76,6.7023,8.7405,0.81,134.5553,52.3535,3.055,8.7261,5.9044,17623.9202,5769.1625,4423.8825,383496.5036,125536.976,0.16883116866228493,002806,华锋股份,广东,元器件,中小板,20160726
002813.SZ,0,20190322,33.0,12.691,12.691,0.77,161.4231,216.9886,5.9126,5.1167,5.1757,12000.0,3000.0,3000.0,396000.0,99000.0,0.19805589307411908,002813,路畅科技,深圳,汽车配件,中小板,20161012
002840.SZ,0,20190322,19.03,4.0063,5.2739,1.03,43.0549,33.5125,3.9236,1.0816,0.9965,26800.005,14673.6078,11146.6787,510004.0952,279238.7564,0.1994110222813616,002840,华统股份,浙江,食品,中小板,20170110
002870.SZ,0,20190322,23.58,9.1097,10.5667,1.05,36.5032,69.4649,3.2311,2.8087,2.8012,11067.0,4012.0,3458.805,260959.86,94602.96,0.2552116234996841,002870,香山股份,广东,电器仪表,中小板,20170515
002875.SZ,0,20190322,21.02,7.4426,7.4426,0.82,40.246,33.1186,3.3257,2.6873,2.2861,13186.173,3887.65,3887.65,277173.3565,81718.403,0.19136103543147048,002875,安奈儿,深圳,服饰,中小板,20170601
002936.SZ,0,20190322,6.12,8.4479,8.4479,0.86,8.4678,11.9436,1.2581,3.5551,3.2671,592193.19,60000.0,60000.0,3624222.3228,367200.0,0.1535269709543568,002936,郑州银行,河南,银行,中小板,20180919
002943.SZ,0,20190322,39.12,10.7875,10.7875,0.93,50.0501,39.4254,5.0423,11.087,9.6561,10000.0,2500.0,2500.0,391200.0,97800.0,0.1563510890662066,002943,宇晶股份,湖南,机床制造,中小板,20181129
002946.SZ,0,20190322,18.75,18.0466,18.0466,0.98,72.0254,65.9483,8.8939,3.62,3.2181,85371.0666,8537.1067,8537.1067,1600707.4988,160070.7506,0.22102201910099945,002946,新乳业,四川,乳制品,中小板,20190125
002947.SZ,0,20190322,47.15,14.0491,14.0491,0.89,45.4673,45.4673,5.3286,11.4437,11.4437,12151.201,3037.8003,3037.8003,572929.1272,143232.2841,0.1953924913973581,002947,恒铭达,江苏,元器件,中小板,20190201
300008.SZ,0,20190322,4.14,7.3367,7.705,0.68,24.214,,4.497,2.6783,3.6459,96001.6185,60241.029,57361.616,397446.7006,249397.8601,0.18181818178075282,300008,天海防务,上海,船舶,创业板,20091030
300017.SZ,0,20190322,13.51,8.4607,10.553,0.66,40.8721,40.8721,3.7902,5.1862,5.1862,243281.8617,216638.7412,173686.4724,3286737.9516,2926789.3936,0.21862348177483157,300017,网宿科技,上海,电信运营,创业板,20091030
300028.SZ,0,20180807,0.77,9.6741,14.5165,1.03,,,1.5629,11.5564,8.4738,34398.0,34397.5027,22923.3127,26486.46,26486.0771,0.7279151943462898,300028,金亚科技,四川,通信设备,创业板,20091030
300045.SZ,0,20190322,10.1,5.836,6.8815,1.58,76.4444,51.7693,3.3252,10.888,9.1759,61546.9387,40724.9872,34537.5702,621624.0809,411322.3707,0.15763135941072917,300045,华力创通,北京,电脑设备,创业板,20100120
300079.SZ,0,20190322,6.48,10.0626,10.5303,0.78,254.5388,104.4845,2.5143,6.8804,5.924,143357.8862,120908.9216,115537.9586,928959.1026,783489.812,0.16170763255893275,300079,数码科技,北京,通信设备,创业板,20100430
300085.SZ,0,20190322,18.05,10.1229,12.9825,1.04,573.5497,342.2851,9.448,11.1136,9.7936,70664.0535,41361.1607,32250.7582,1275486.1657,746568.9506,0.15058823529161056,300085,银之杰,深圳,软件服务,创业板,20100526
300097.SZ,0,20190322,13.65,5.7975,6.7663,1.06,23.1266,28.5613,1.9878,4.3141,4.0349,28854.9669,20184.4042,17294.2165,393870.2982,275517.1173,0.18894830651938474,300097,智云股份,辽宁,电器仪表,创业板,20100728
300170.SZ,0,20190322,17.31,5.3764,5.7603,0.68,47.4564,39.5391,5.2183,6.6081,5.3566,88758.2589,70007.089,65341.5407,1536405.4616,1211822.7106,0.167388167351961,300170,汉得信息,上海,软件服务,创业板,20110201
300175.SZ,0,20190322,6.71,4.7834,9.0374,0.65,79.7726,61.9045,3.8908,8.3163,9.0282,47080.0,46161.028,24432.304,315906.8,309740.4979,0.18863361547762997,300175,朗源股份,山东,食品,创业板,20110215
300227.SZ,0,20190322,13.05,3.8653,4.3122,0.78,47.3015,42.5895,3.7717,5.655,4.9946,22247.7228,15178.1619,13605.0736,290332.7825,198075.0128,0.17613636386208614,300227,光韵达,深圳,元器件,创业板,20110608
300249.SZ,0,20190322,8.12,6.3799,8.5668,0.92,94.6069,94.6069,4.5778,2.6411,2.6411,44598.7594,30437.7875,22667.7711,362141.9263,247154.8345,0.1814516128777063,300249,依米康,四川,软件服务,创业板,20110803
300278.SZ,0,20190322,8.64,10.5181,11.9568,1.01,84.7707,274.7316,3.0516,1.7433,1.6745,59846.3412,26806.0046,23580.4545,517072.388,231603.8797,0.17557251906449567,300278,华昌达,湖北,专用机械,创业板,20111216
300280.SZ,0,20190322,30.16,5.9433,9.431,1.05,975.2951,56.532,3.6029,12.1904,6.594,14615.0,12800.0,8066.4067,440788.4,386048.0,0.3328909533289095,300280,紫天科技,江苏,专用机械,创业板,20111229
300282.SZ,0,20190322,13.59,2.1835,3.2597,0.7,152.2192,30.0718,1.37,2.6107,4.2787,24953.7637,22743.0233,15234.2073,339121.6487,309077.6866,0.18622754488891322,300282,三盛教育,北京,文教休闲,创业板,20111229
300324.SZ,0,20190322,8.03,3.9349,4.841,0.76,35.8142,365.1597,2.756,4.2286,3.6525,173626.1988,103688.1545,84281.5086,1394218.3764,832615.8806,0.15739769149710023,300324,旋极信息,北京,软件服务,创业板,20120608
300362.SZ,0,20190322,5.8,5.3588,7.1732,0.81,38.7992,,8.9674,2.6964,5.8167,43699.919,31469.4569,23509.3229,253459.5302,182522.85,0.20110192827393136,300362,天翔环境,四川,环境保护,创业板,20140121
300365.SZ,0,20190322,26.66,5.3253,7.0076,1.78,39.4716,39.4716,5.8965,9.056,9.056,40216.2646,21585.0762,16403.175,1072165.6142,575458.1315,0.16739537792194836,300365,恒华科技,北京,软件服务,创业板,20140123
300370.SZ,0,20190322,5.18,22.1371,24.5506,0.7,46.7264,,5.4828,2.8107,3.3742,95844.4424,71395.9835,64377.2812,496474.2116,369831.1945,0.2568149211071392,300370,安控科技,北京,电器仪表,创业板,20140123
300498.SZ,0,20190322,37.58,1.2288,1.3268,1.02,29.5753,50.3965,5.953,3.5874,3.4841,531310.9027,371753.8023,344285.7637,19966663.7235,13970507.8904,0.17078552515428494,300498,温氏股份,广东,农业综合,创业板,20151102
300514.SZ,0,20190322,16.3,11.9723,13.7225,0.65,45.3649,64.1903,6.1863,5.4243,4.6739,20000.0,9032.0,7880.0,326000.0,147221.6,0.20176297747306562,300514,友讯达,深圳,通信设备,创业板,20170426
300539.SZ,0,20190322,12.25,18.3474,21.3722,0.49,81.3517,218.3321,6.3038,5.2038,4.746,20900.0,6086.4116,5225.0,256025.0,74558.5421,0.21524663677130046,300539,横河模具,浙江,塑料,创业板,20160830
300545.SZ,0,20190322,31.36,13.1524,13.6615,1.06,53.0026,53.0026,7.633,6.8107,6.8107,14411.8272,4812.6392,4633.2872,451954.901,150924.3653,0.1657355678815191,300545,联得装备,深圳,专用机械,创业板,20160928
300587.SZ,0,20190322,23.43,5.6638,5.6638,0.73,35.1957,31.98,2.7698,7.8868,5.108,10689.0,4216.3876,4216.3876,250443.27,98789.9615,0.22841180237248265,300587,天铁股份,浙江,橡胶,创业板,20170105
300612.SZ,0,20190322,24.0,9.883,9.9738,1.14,51.8701,184.5947,9.4983,7.7065,10.5286,16200.0,4533.7445,4492.4925,388800.0,108809.868,0.1986644407345576,300612,宣亚国际,北京,广告包装,创业板,20170215
300659.SZ,0,20190322,29.36,2.8071,3.5369,0.64,80.2174,87.3673,8.5942,13.8728,10.9082,13283.3,6496.1149,5155.6968,389997.688,190725.9335,0.17666853617498593,300659,中孚信息,山东,软件服务,创业板,20170526
300710.SZ,0,20190322,32.09,10.4448,11.9334,0.94,47.0663,143.3986,3.8086,5.2623,6.406,6861.4,3352.4,2934.2,220182.326,107578.516,0.21405829047269165,300710,万隆光电,浙江,通信设备,创业板,20171019
300724.SZ,0,20190322,34.11,5.4041,5.4041,1.39,42.9666,34.7677,4.8833,8.7829,7.3122,32000.0,8000.0,8000.0,1091520.0,272880.0,0.21405529953917052,300724,捷佳伟创,深圳,专用机械,创业板,20180810
300748.SZ,0,20190322,26.56,9.9095,9.9095,0.61,74.5982,74.5982,9.8791,8.5164,8.5164,41342.4188,4160.0,4160.0,1098054.6433,110489.6,0.1549475024182091,300748,金力永磁,江西,元器件,创业板,20180921
300751.SZ,0,20190322,169.21,3.9934,3.9934,0.81,51.4775,51.4775,7.7105,11.1681,11.1681,5200.0,1300.0,1300.0,879892.0,219973.0,0.1789509437624339,300751,迈为股份,江苏,专用机械,创业板,20181109
300753.SZ,0,20190322,42.02,7.5018,7.5018,0.71,48.4409,48.4409,5.6132,11.392,11.392,8080.0,2020.0,2020.0,339521.6,84880.4,0.1579158316633267,300753,爱朋医疗,江苏,医疗保健,创业板,20181213
300757.SZ,0,20190322,63.6,7.9795,7.9795,0.79,58.5362,51.3654,7.9974,11.864,7.6645,8000.0,2000.0,2000.0,508800.0,127200.0,0.16743029192302658,300757,罗博特科,江苏,专用机械,创业板,20190108
300761.SZ,0,20190322,73.97,11.8713,11.8713,0.64,37.7908,22.9862,6.0051,5.0364,4.1411,40388.0,4128.0,4128.0,2987500.36,305348.16,0.23805109188298315,300761,立华股份,江苏,农业综合,创业板,20190218
600086.SH,0,20190322,5.78,6.9987,11.6461,0.72,33.752,,2.4878,0.8411,1.6212,135000.0,105684.5016,63511.2074,780300.0,610856.4192,0.18591549295774648,600086,东方金钰,湖北,服饰,主板,19970606
600131.SH,0,20190322,21.04,9.8703,15.4909,0.95,132.5479,81.258,8.586,12.9102,10.0069,50412.5155,40765.8931,25974.6397,1060679.3261,857714.3908,0.16805061290942042,600131,岷江水电,四川,水力发电,主板,19980402
600375.SH,0,20190322,6.36,7.1203,8.8965,0.86,59.4155,59.4155,1.2587,0.4847,0.4847,55574.0597,55574.0597,44478.6692,353451.0197,353451.0197,0.1979823454669592,600375,华菱星马,安徽,汽车整车,主板,20030401
600401.SH,0,20180205,0.87,0.2719,0.2912,0.36,,,1.4324,0.9096,1.3106,472493.5152,472493.5152,441255.213,411069.3582,411069.3582,0.26890756308349745,600401,*ST海润,江苏,半导体,主板,20030924
600485.SH,0,20161223,14.6,5.9912,6.6768,6.15,22.4518,19.782,3.6479,11.9429,9.0771,292374.2782,163144.3163,146393.8302,4268664.4617,2381907.018,0.17607223476620387,600485,信威集团,北京,通信设备,主板,20030807
600531.SH,0,20190322,5.24,2.972,4.6804,0.82,19.6194,34.5735,1.7892,0.3274,0.3021,109024.2634,109024.2634,69229.0765,571287.1402,571287.1402,0.15755627006042675,600531,豫光金铅,河南,铅锌,主板,20020730
600552.SH,0,20190322,5.81,4.0188,5.5892,1.02,103.0278,103.0278,1.8473,1.456,1.456,76388.4003,73998.2969,53206.2666,443816.6057,429930.105,0.19417475741376256,600552,凯盛科技,安徽,玻璃,主板,20021108
600604.SH,0,20190322,16.9,11.2666,26.6999,0.78,136.77,152.9374,5.3624,14.4469,15.7741,187330.4804,133418.4708,56298.9292,3165885.1188,2254772.1565,0.16584402762925288,600604,市北高新,上海,园区开发,主板,19920327
600613.SH,0,20190322,8.68,4.3959,11.7168,0.85,35.7693,40.7538,1.8403,2.6708,2.4623,53407.1628,47931.9978,17982.9962,463574.1731,416049.7409,0.16778523490053365,600613,神奇制药,上海,中成药,主板,19920820
600651.SH,0,20190322,5.75,5.47,8.3528,0.64,102.9399,,2.3452,1.0443,1.606,98892.2311,98522.0002,64519.2407,568630.3288,566501.5012,0.1605839415993743,600651,飞乐音响,上海,电器仪表,主板,19901219
600738.SH,0,20190322,7.62,4.3343,6.2602,0.76,3.7666,3.7666,3.3544,4.3162,4.3162,78309.5436,42125.8353,29166.2983,596718.7222,320998.865,0.32326820604773815,600738,兰州民百,甘肃,百货,主板,19960802
600776.SH,0,20190322,28.86,7.5266,18.6754,0.7,306.6456,287.9216,11.9917,14.8723,15.0861,125600.0064,95600.0064,38528.7324,3624816.1847,2759016.1847,0.2872314151599791,600776,东方通信,浙江,通信设备,主板,19961126
600816.SH,0,20190322,7.35,3.3375,4.2321,0.87,10.9585,46.3641,2.8987,7.188,15.022,546913.7919,467250.9147,368481.1816,4019816.3705,3434294.223,0.16949152541392382,600816,安信信托,上海,多元金融,主板,19940128
600818.SH,0,20190322,16.18,3.8858,8.6882,0.5,166.3006,419.4511,8.1078,8.6047,9.7629,32144.791,23795.791,10642.7176,520102.7184,385015.8984,0.16382428944074692,600818,中路股份,上海,文教休闲,主板,19940128
601066.SH,0,20190322,24.5,22.1957,22.1957,0.83,60.6766,60.6766,4.3999,17.1755,17.1755,764638.5238,40000.0,40000.0,18733643.8331,980000.0,0.2137355584079517,601066,中信建投,北京,证券,主板,20180620
601319.SH,0,20190322,9.99,12.8417,12.8417,0.67,26.5408,30.9404,2.923,0.9051,0.8714,4422399.0583,101124.0,101124.0,44179766.5924,1010228.76,0.2213561964151037,601319,中国人保,北京,保险,主板,20181116
601519.SH,0,20190322,10.71,7.0719,18.8268,0.77,196.5433,196.5433,14.7662,35.8607,35.8607,198770.0,198770.0,74664.3341,2128826.7,2128826.7,0.17488443759630196,601519,大智慧,上海,软件服务,主板,20110128
601608.SH,0,20190322,5.31,3.5186,10.7519,1.17,735.6597,289.5383,3.2014,4.9869,4.7163,433941.9293,433941.9293,142009.7299,2304231.6446,2304231.6446,0.15714285713972176,601608,中信重工,河南,专用机械,主板,20120706
601700.SH,0,20190322,8.53,4.2818,9.9012,0.75,70.222,462.5725,3.3451,4.38,4.2682,113323.2,113323.2,49006.7,966646.896,966646.896,0.22313296903460844,601700,风范股份,江苏,电气设备,主板,20110118
601860.SH,0,20190322,9.19,20.5587,20.5587,0.77,29.5724,26.765,2.8353,9.2885,7.9667,366088.8889,36608.8889,36608.8889,3364356.889,336435.689,0.22118644067227702,601860,紫金银行,江苏,银行,主板,20190103
603000.SH,0,20190322,26.61,9.9143,22.9225,1.03,329.079,208.5995,10.5031,21.0064,20.0284,110569.1056,110569.1056,47822.5035,2942243.9,2942243.9,0.15389507154186524,603000,人民网,北京,互联网,主板,20120427
603011.SH,0,20190322,6.19,1.647,3.7792,0.75,66.5505,64.9433,1.6046,3.8463,3.6701,45315.9794,44619.8794,19445.7872,280505.9125,276197.0535,0.17576564577898676,603011,合锻智能,安徽,机床制造,主板,20141107
603032.SH,0,20190322,37.2,27.9841,42.8477,1.15,219.6312,23.1537,8.7175,30.1632,34.9382,16000.8,7840.8,5120.888,595229.76,291677.76,0.19810303944815688,603032,德新交运,新疆,公路,主板,20170105
603081.SH,0,20190322,16.49,14.893,14.893,0.52,28.9194,28.6177,3.8638,3.8816,3.6907,40180.0,7772.625,7772.625,662568.2,128170.5863,0.16717171717171722,603081,大丰实业,浙江,专用机械,主板,20170420
603098.SH,0,20190322,14.09,3.326,3.326,0.59,33.7482,31.1878,3.7892,3.1659,2.4363,48001.2,7501.2,7501.2,676336.908,105691.908,0.1687315634218288,603098,森特股份,北京,装修装饰,主板,20161216
603121.SH,0,20190322,29.39,9.5892,9.5892,0.79,53.4288,53.4288,5.2051,11.9156,11.9156,18000.0,4500.0,4500.0,529020.0,132255.0,0.1894649751792609,603121,华培动力,上海,汽车配件,主板,20190111
603220.SH,0,20190322,33.77,12.1741,12.1741,0.91,96.858,63.1625,7.9235,8.3841,6.333,33776.0,8444.0,8444.0,1140615.52,285153.88,0.19191194065565925,603220,贝通信,湖北,通信设备,主板,20181115
603332.SH,0,20190322,37.67,8.8723,8.8723,0.82,33.2046,33.2046,3.5406,2.9406,2.9406,11893.8,2973.5,2973.5,448039.446,112011.745,0.16121131151191265,603332,苏州龙杰,江苏,化纤,主板,20190117
603363.SH,0,20190322,13.22,5.4235,5.6192,0.79,53.3155,116.8067,6.6433,1.1758,1.0158,43603.7,18399.2944,17758.585,576440.914,243238.672,0.17632398753894082,603363,傲农生物,福建,饲料,主板,20170926
603729.SH,0,20190322,23.4,7.812,17.0345,0.67,52.6397,47.5971,2.5196,1.7676,1.566,9333.8,9333.8,4280.458,218410.92,218410.92,0.21581769436997317,603729,龙韵股份,上海,广告包装,主板,20150324
603739.SH,0,20190322,32.69,13.1469,13.1469,0.93,59.0488,59.0488,5.7065,6.3245,6.3245,15466.7,3866.7,3866.7,505606.423,126402.423,0.19502585570056638,603739,蔚蓝生物,山东,农业综合,主板,20190116
603959.SH,0,20190322,19.12,1.6595,2.3046,0.64,55.2568,42.5808,5.7364,10.0449,8.3045,31360.0,14896.0,10726.3032,599603.2,284811.52,0.170858629661752,603959,百利科技,湖南,建筑施工,主板,20160517
