ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh
000062.SZ,14.74,91.76,13.5273,154.921,2.6507,25.3911,0.0484,33.7214,1.0902,25.781,983084.0008,6119931.337
000063.SZ,28.25,31.09,,,5.2131,5.7372,2.972,10.5625,1.3015,1.4324,11844297.96,13035016.76
000065.SZ,6.77,57.74,9.5569,78.6931,1.3587,15.2182,0.4512,32.7305,0.5457,4.9101,404176.0417,1930945.577
000066.SZ,3.44,24.33,26.0612,1089.1161,1.6978,12.8713,0.0191,25.5655,0.0585,3.2523,455316.2968,3317966.28
000068.SZ,2.24,14.85,86.1366,2139.8835,3.6047,59.8953,0.2223,34.8634,5.5464,261.4681,225494.4079,1494907.124
000069.SZ,5.21,13.85,4.79,21.7768,0.8318,3.5172,0.2417,17.404,0.9598,3.4517,4274326.417,10070809.67
000070.SZ,5.88,36.21,14.3322,167.0972,1.7927,9.0678,0.0225,38.1659,0.6653,4.6824,261515,1096613.811
000078.SZ,2.87,34.89,10.4412,1038.8364,1.2863,17.4065,0.2213,25.3131,0.2089,2.5085,699518.4454,2552949.64
000088.SZ,4.8,14.16,22.0803,68.2682,1.4562,5.3918,0.283,36.1591,24.5714,92.9323,932256,2750155.2
000089.SZ,6.1,15.44,21.1055,106.8917,1.2919,3.1714,0.1409,18.608,3.6156,10.5204,1031992.839,3166388.122
000090.SZ,4.58,33.95,11.3607,41.3441,1.0458,4.8007,0.2793,21.8003,0.9614,3.3856,658302.93,1875842.046
000096.SZ,8.03,31.53,22.2194,436.8985,1.7198,8.3265,0.0528,23.8235,2.6151,15.9031,423984,1664784
000099.SZ,5.14,26.28,26.7175,88.9398,1.0451,5.9274,0.3043,30.7238,2.3129,11.7793,311520.1959,1592753.064
000100.SZ,2.24,7.48,7.9318,31.0592,1.0621,4.048,0.2588,14.5358,0.2406,0.8846,2117340.573,9127637.389
000150.SZ,5.02,52.7,11.1647,882.8729,2.2675,14.679,0.0427,31.6794,2.65,48.1557,162648,2359931.702
000151.SZ,9.16,37.14,29.2864,131.7985,2.7856,12.2289,0.1857,135.6177,1.1469,6.4473,271117.68,1099269.72
000153.SZ,4.88,19.56,25.8409,142.1908,1.24,5.4573,0.1226,20.8259,0.5306,3.6131,154733.8834,610548.2459
000155.SZ,3.13,17.27,9.6934,182.7276,1.2364,13.9966,0.0149,29.0757,0.6198,17.2699,147110,952500
000156.SZ,7.8,59.95,17.1895,199.9928,1.0782,28.5742,0.234,18.6419,3.3867,34.7673,1118014.484,8592944.653
000157.SZ,3.2,10.38,18.7638,440.7448,0.6743,1.9817,0.0064,19.2872,0.984,3.296,2493447.544,7998780.304
000158.SZ,4.1,39.89,20.2985,8203.3033,1.1379,11.7923,0.2356,39.1935,0.6475,6.2884,677678.734,4372890.445
000159.SZ,3.45,16.69,18.5686,463.9344,0.8054,3.7511,0.3756,46.1597,2.6767,8.0898,165993.0564,803021.4817
000166.SZ,3.89,19.9,8.7895,156.0948,1.2992,8.3115,0.1288,37.6666,3.6382,48.873,8766482.434,29564922.5
000301.SZ,2.86,12.07,10.8879,179.5286,1.1626,4.6522,0.1352,27.3746,1.4307,25.9008,348415.6233,2755872.404
000333.SZ,20.35,62.12,8.5795,24.107,2.3126,5.711,0.2268,5.8893,0.6954,4.348,10135337.66,40679446.3
000338.SZ,6.63,36.76,7.0612,29.9665,0.9018,2.6325,0.278,12.032,0.3632,0.9125,2835021.068,9330235.701
000400.SZ,7.41,35.7,11.7003,36.9592,0.9745,6.3375,0.3021,19.5674,0.7404,4.5581,747170.536,3599728.493
000401.SZ,7.93,24.77,11.1644,785.0425,0.8612,3.3427,0.1585,56.7643,0.5175,2.7059,1068585.671,3337814.258
000402.SZ,5.79,14.97,6.1588,19.0191,0.5855,1.8435,0.1395,11.9097,0.781,2.4356,1730590.416,4474428.071
000403.SZ,14.5,36.9,29.5697,230.5405,8.5437,18.347,0.0596,23.4909,6.7476,18.4645,395237.5186,1005811.34
000404.SZ,3.55,13.99,15.4853,98.3858,0.7879,3.8007,0.2716,29.1701,0.2862,1.1409,247078.5725,782913.9102
000407.SZ,3.55,12.53,34.0522,394.5759,1.3909,5.4708,0.2126,19.6466,0.7156,4.7688,312430.0529,1073703.28
000408.SZ,5.75,35.87,16.1659,2109.4319,2.8706,66.4529,0.0638,27.4688,3.8563,2650.3588,145073.3625,4391058.841
000409.SZ,3.02,23.9,32.2626,123.4429,2.0744,11.2321,0.0456,37.1969,1.0858,38.8614,154301.2097,1129775.335
000410.SZ,5.97,40.45,6.3064,931.005,3.2217,44.6336,0.0641,31.6207,0.8702,4.1187,456986.1177,3096329.726
000411.SZ,10.55,41.66,23.2305,127.9135,2.4562,13.7598,0.0023,23.9529,0.1105,0.5949,218859.693,864236.475
000413.SZ,4.1,16.91,11.558,58.0494,0.7417,6.3527,0.1791,27.0532,0.8789,17.9731,1826186.881,8353419.91
000415.SZ,3.38,28.28,6.5465,51.8219,0.5888,5.0053,0.0377,27.3342,0.5627,6.7487,717127.9292,5017730.23
000416.SZ,3.15,17.52,34.7528,447788.2745,1.9618,11.1834,0.0802,23.5668,8.537,329.2645,167539.5206,931838.8575
000417.SZ,4.2,19.14,16.425,45.1285,0.8814,4.4392,0.1549,22.0399,0.3135,1.5053,327551.364,1492698.359
000418.SZ,13.35,77.1,13.6456,33.5838,1.99,7.0711,0.2546,15.2379,0.8314,2.3293,844371.1649,4876480.66
000419.SZ,3.83,15.7,14.872,58.9416,0.7135,4.6559,0.1959,31.2373,0.5346,1.9871,208192.1569,853424.7684
000420.SZ,1.69,12.19,28.193,529.9435,1.1622,9.2116,0.1822,24.4727,1.3373,9.7163,333049.4249,873539.4568
000421.SZ,4.29,15.8,14.1921,44.7555,0.9816,4.1264,0.3057,21.2121,0.6847,4.2838,245665.5347,904782.1557
000422.SZ,1.96,12.48,108.2473,383.1615,0.5651,20.9254,0.1446,14.5184,0.1603,0.6244,175981.8756,1120537.657
000423.SZ,37.78,72.95,12.4761,27.5992,2.4117,6.2679,0.2794,11.8234,3.3697,8.9929,2470893.367,4771087.112
000425.SZ,2.84,17.83,14.319,537.6413,0.9207,2.0238,0.323,19.527,0.6017,1.9949,2011937.707,4210428.324
000426.SZ,4.34,20.21,11.2147,889.1012,1.4035,5.5465,0.4638,42.5434,3.3397,27.5547,402937.5564,2262754.175
000428.SZ,2.38,17.21,27.7329,2049.1547,0.8458,8.2936,0.1784,20.0296,2.234,9.2141,242504.388,1237271.646
000429.SZ,4.07,9.8,9.166,34.1856,1.1202,2.4719,0.1722,31.0015,3.6313,9.5452,511646.9234,2048990.004
000430.SZ,4.63,16.32,25.5946,115.1631,1.1897,10.7071,0.0503,24.4098,3.668,10.3279,187430.5886,523602.9632
000488.SZ,5.44,19.79,3.1189,49.707,0.6291,2.0966,0.5174,22.4976,0.3513,1.4711,1103751.116,3832146.419
000498.SZ,3.6,13.65,7.6283,47.7475,0.9858,5.7057,0.09,27.5997,0.2934,2.2958,403250.0627,1528989.821
000501.SZ,9.27,28.66,6.2056,21.4856,0.8939,4.0379,0.2963,14.5505,0.3952,0.8732,712856.2616,1516187.341
000502.SZ,6.09,39.07,72.7691,284.5469,5.6164,37.0618,0.2289,39.1083,4.9555,294.1481,112555.1407,722090.2045
000503.SZ,13.21,78.19,213.7796,13140.8161,9.0029,54.334,0.1707,21.051,71.9489,369.4255,1187344.132,7027890.813
000504.SZ,5.63,35.8,146.0808,506.1144,14.6127,19077.297,0.0217,17.4603,27.6111,712.9055,175416.1063,1115434.566
000505.SZ,5.2,22.2,15.2933,3060.0582,1.269,12122.7375,0.1114,22.0574,0.3194,39.1457,221907.6101,947374.7969
000506.SZ,3.38,3.91,,,3.0291,3.5041,5.5808,12.5341,6.3127,7.3026,314008.0032,363245.9446
000507.SZ,5.08,13.98,29.4041,866.9783,1.6033,4.5117,0.0985,50.8604,1.7023,5.8529,401086.7869,1103778.205
000509.SZ,2.37,17.03,59.2964,674.522,28.9586,545.9043,0.1301,27.5027,0.7244,86.8048,195639.4987,1126784.455
000510.SZ,3.88,15.78,21.1191,347.5318,2.5953,12.5707,0.058,36.6992,1.1302,6.7344,236362.7146,961289.5968
000513.SZ,23.52,97.99,4.2357,53.7144,1.5802,7.2568,0.3053,17.4369,1.9108,5.1521,1413550.453,4353377.643
000514.SZ,3.42,16.16,25.1903,1104.677,0.9656,4.9106,0.083,44.7346,2.5905,13.6906,288569.67,1363533.879
000516.SZ,4.41,37.57,3.805,112.9754,1.4856,16.7173,0.0803,20.2725,1.2492,7.5381,450167.844,2962092.892
000517.SZ,1.99,27.02,15.2487,495.8034,1.4635,7.8146,0.4494,42.341,1.6344,57.9921,633600.5745,2867652.852
000518.SZ,2.56,9.49,204.6117,41913.7097,4.2563,16.2379,0.0649,24.1999,7.7272,38.1026,263566.3928,977048.8547
000519.SZ,6,26.06,18.5976,310.8481,1.0947,4.7802,0.5402,31.5154,1.6202,18.1963,842076.9864,2592193.657
000520.SZ,2.18,21.2,34.7559,862.4734,7.6494,91.957,0.287,45.2982,0.7151,26.668,147089.4621,2145616.925
000521.SZ,2.75,11.71,14.4287,269.866,0.569,2.607,0.2586,27.085,0.1684,0.8249,287264.4173,894338.6091
000523.SZ,3.6,24.19,56.397,287.4061,1.2011,10.0569,0.0625,22.0215,0.1829,1.9188,225911.925,1076850.719
000524.SZ,6.24,31.88,21.2282,323.1876,1.7509,14.8221,0.2107,26.4455,0.6228,32.6786,247830.1707,989434.6416
000525.SZ,11.7,28.39,10.5975,8014.8357,1.3545,3.786,0.2444,17.9854,0.9053,3.4573,593478.8133,1469355.369
000526.SZ,9.03,87.45,59.5671,6178.7842,5.3287,61.6403,0.0078,47.6786,0.5823,325.8032,86864.1816,841226.2107
000528.SZ,5.9,16.58,11.5918,2084.6102,0.7464,2.0665,0.5278,21.9684,0.5292,2.0135,663892.8602,1865651.462
000529.SZ,4.16,19.45,15.1029,109.1605,1.7498,10.4959,0.2073,22.1914,1.0273,5.9594,242856.7773,1135472.192
000530.SZ,2.96,23.48,15.6769,72.1357,0.7567,4.131,0.028,34.9239,1.2021,5.8509,253208.4898,845667.3613
000531.SZ,3.91,17.9,8.8366,52.6087,0.6933,3.9186,0.1754,23.9223,0.8963,4.4009,267867.3826,1226298.248
000532.SZ,7.39,36.68,52.7285,388.2319,3.4081,18.7528,0.0625,40.5887,5.4407,74.5366,254739.4633,1264390.191
000533.SZ,2.53,15,13.8267,313.7959,1.1311,7.7174,0.1491,32.8689,0.1369,2.5679,174776.448,1036224
000534.SZ,3.96,19.36,15.3816,1510.8157,1.6782,6.9133,0.0684,35.0173,2.128,136.9071,196634.63,952095.9459
000536.SZ,1.68,25.94,21.2405,1374.2125,0.3881,7.1998,0.1647,37.6909,0.9147,6.3873,464693.5109,2734914.934
000537.SZ,6.14,17.05,2.9818,140.5487,1.0921,4.6317,0.2907,18.4172,0.3908,7.2445,314808.5947,3175597.828
000538.SZ,47.99,118.45,20.396,38.2364,3.7947,7.8638,0.2433,10.8435,2.8001,4.9853,4997677.247,12335379.66
000539.SZ,3.72,14.53,8.8508,111.4985,0.8249,2.8712,0.0969,29.445,0.6937,2.262,1953105.643,6357218.86
000540.SZ,3.17,35.78,4.3062,38.4222,1.0844,9.7138,0.0473,25.6828,0.7129,5.9226,619322.2725,7447639.105
000541.SZ,5.07,23.98,7.1444,557.3388,1.6306,8.5039,0.207,23.1122,1.8835,7.8944,709468.5001,2475570.561
000543.SZ,3.76,21.36,8.5883,65.6209,0.7038,2.3926,0.2729,24.0062,0.5296,1.7812,673188.8877,2249579.888
000544.SZ,4.17,29.05,12.5576,115.8458,0.7499,8.7153,0.0666,26.4374,4.0889,19.6816,325776.897,1454229.257
000545.SZ,3.07,21.34,20.1481,234.3552,1.491,6.4388,0.145,40.4607,1.6143,13.8325,250237.8444,1052950.913
000546.SZ,6.78,19.5,12.7583,120.4367,1.5849,7.272,0.1747,44.8341,0.7458,61.8364,405741.9763,1367114.73
000547.SZ,3.03,39.13,21.7582,166.2279,1.5677,15.845,0.0297,28.4793,3.8409,48.0824,252968.1067,4260294.113
000548.SZ,3.78,20.78,15.5492,1018.3265,1.1494,6.9648,0.262,38.9485,2.0731,52.7555,188703.5766,1037370.455
000550.SZ,9.32,47.49,9.4011,70.4011,0.7781,3.6692,0.1752,17.11,0.2685,1.5953,804515.448,4099403.286
000551.SZ,4.88,19.53,28.0261,267.1026,1.2222,6.0214,0.1206,30.6696,0.6972,3.4686,195239.2376,781357.031
000552.SZ,2.48,16.15,8.5226,74.7176,0.7865,3.0192,0.2839,38.7085,1.3397,6.0596,567168.8204,1846729.123
000553.SZ,11.12,11.72,10.9312,11.6907,1.2133,1.2787,1.6741,2.6998,1.0965,1.1761,2720567.583,2867360.798
000554.SZ,4.74,19.53,386.2403,4142.0286,2.4938,10.2681,0.3774,37.6103,0.7836,2.528,227896.0327,938989.354
000555.SZ,8.93,114,18.4125,193.872,1.6632,17.7129,0.2234,30.8633,0.9708,725.9853,860344.1268,5231527.921
000557.SZ,3.12,12.37,37.1566,16173.2441,1.1248,60.3398,0.041,26.1711,6.6665,753275.6027,285431.7423,1112739.923
000558.SZ,2.63,35.94,59.2508,612.8633,2.412,18.9407,0.2507,41.8017,1.5722,9.5381,269124.9271,3088980.583
000559.SZ,4.55,31,14.1102,97.1746,2.5309,19.692,0.1692,23.4551,1.089,7.1003,1252687.552,7112328.59
000560.SZ,4.3,45.64,13.0146,932.7017,1.0845,6.0303,0.0586,36.7301,0.4683,14.8983,128936.7634,2144495.991
000561.SZ,5.33,20.32,44.1103,339.9295,2.5535,13.1103,0.4285,30.8179,2.5833,12.7943,322342.8369,1210756.432
000563.SZ,2.33,19.27,22.0014,75.444,0.9004,5.7345,0.3515,37.4051,7.9667,28.1867,923614.9931,2511024.532
000564.SZ,2.37,16.31,9.5477,2607.3575,0.4623,5.2871,0.0681,60.7692,0.5227,8.9522,182698.3679,6109961.311
000565.SZ,3.88,55.99,10.4524,237.492,1.5858,15.0719,0.2908,40.0546,0.6671,17.8622,168233.7814,971073.1359
000566.SZ,4.94,54.6,41.1546,167.3847,1.3897,13.7937,0.0749,22.7447,2.5224,21.7197,485286.149,2977558.759
000567.SZ,10.07,53.88,47.7357,2271.4529,1.0868,37.03,0.0544,51.6378,13.9433,1133.554,161028,1249999.825
000568.SZ,18.21,73.37,12.8666,51.3515,2.5357,7.8801,0.3684,23.4631,3.6227,11.0757,2553501.759,10746888.92
000570.SZ,3.48,18.5,43.6019,167.6455,0.9204,5.1356,0.0917,33.7271,0.8488,4.3318,195358.2654,1038542.503
000571.SZ,2.54,12.25,24.4305,512.5322,0.9339,4.5061,0.0598,20.8941,1.0061,10.8054,206772.256,997228.4
000572.SZ,1.98,10.96,28.5821,135.812,0.5284,2.4555,0.3001,24.0558,0.4527,1.3552,325638.0123,1802521.523
000573.SZ,2.82,11.96,12.2843,337.2729,1.0992,4.7165,0.2094,24.8993,3.0435,16.7977,182793.9803,744815.7024
000576.SZ,4.79,29.93,33.489,753.2423,2.0812,13.1602,0.0193,57.0807,4.3812,28.9997,212130.5742,1325483.943
000581.SZ,16.08,39.98,5.98,26.3906,1.1044,3.6077,0.3569,15.832,1.8041,6.3206,1622392.517,4078763.566
000582.SZ,6.9,30.45,11.5516,52.9918,1.2491,7.2579,0.0932,29.2812,2.0432,7.3718,859610.4934,2533895.404
000584.SZ,4.73,34.72,8.2022,315.6,1.6289,10.9388,0.0212,32.9571,1.1592,10.8936,290102.4123,2129462.105
000585.SZ,1.72,9.71,196.9914,2157.6224,6.9634,34.5403,0.1769,34.6571,9.9381,113.03,150219.64,848042.27
000586.SZ,5.6,24.45,59.6234,3309.004,5.3193,20.5807,0.0678,39.0852,2.562,10.6292,108326.4,472960.8
000587.SZ,2.27,37.58,5.7644,151.8921,0.5076,15.6554,0.0203,28.9161,0.3051,2.2073,482091.0979,2278783.031
000589.SZ,3.12,15.55,28.8279,308.6137,0.7216,3.1596,0.1581,20.5789,0.327,2.3425,241944.8628,1205846.993
000590.SZ,6.5,35.18,43.0643,1570.8402,2.7207,40.2792,0.0031,20.6413,5.6845,36.1102,155656.3236,785679.3973
000591.SZ,2.72,35.45,9.5916,2841.4798,0.6641,23.8548,0.026,21.7413,0.6846,7.4977,324339.1909,2188347.25
000592.SZ,2.05,45.4,59.9046,1764.8482,1.2453,33.7759,0.3758,25.7386,4.1589,41.6744,396015.0829,3847227.934
000593.SZ,4.75,18.85,49.9955,527.1473,1.5432,7.9767,0.0754,39.7492,3.2359,11.9201,170349.7293,527687.2808
000595.SZ,2.46,20.52,132.796,1951.3279,2.6326,13.8857,0.127,63.9714,4.0208,54.813,173142.3,864805.9703
000596.SZ,26.3,100.63,15.9324,39.384,2.8861,7.7213,0.4539,23.2337,2.5883,6.8435,1324468,5067726.8
000597.SZ,6.54,17,29.2577,282.1425,1.2039,3.0642,0.3211,30.3686,0.7587,1.9109,310424.4145,814861.1667
000598.SZ,3.87,12.65,11.8725,50.0323,1.1573,4.9895,0.1999,22.9576,2.9521,13.6662,1155666.599,3777566.532
000599.SZ,3.59,17.36,28.4362,198.5534,0.8131,4.6772,0.1487,32.2748,0.7761,3.3097,299990.326,1171068.958
000600.SZ,4.02,17,6.1986,380.6797,0.672,3.1955,0.3862,34.2046,0.5652,3.0252,720233.8032,3045764.839
000601.SZ,3.37,13.18,10.9551,60.1905,0.8703,3.6748,0.1224,25.7184,1.0537,4.7591,364145.9125,1424167.1
000603.SZ,6.84,41.99,13.0487,88.3596,1.7536,29.0239,0.2178,25.9525,2.5938,28.3575,471939.0327,2120447.413
000605.SZ,6.85,42.98,23.0264,225.0914,1.1809,8.6919,0.0169,64.0372,1.4124,11.5587,241571.141,989963.07
000606.SZ,8.25,8.85,14.6514,15.7169,2.0498,2.1988,2.4107,10.7079,8.8057,9.4461,631784.4662,677732.4274
000607.SZ,3.34,21.26,22.6943,2073.6025,1.8686,17.1444,0.0561,25.1993,1.867,15.4317,339911.2689,2163626.82
000608.SZ,3.63,9.42,9.3872,426.5034,0.6804,2.2981,0.0521,22.6842,1.9753,16.9273,272218.5312,706418.3371
000609.SZ,4.06,24.35,18.8332,393.3287,0.7736,5.686,0.314,35.9299,3.8006,42.614,121505.8619,725862.5961
000610.SZ,4.96,25.24,24.8869,1382.2327,1.5289,7.7879,0.2384,45.6125,1.559,8.5521,117426.9589,597551.7021
000611.SZ,3.74,17.92,84.5468,281.6379,2.1513,20.1411,0.0288,31.4678,1.0544,108.6191,126345.4362,576705.0634
000612.SZ,3.64,13.28,20.8201,145.3821,0.9629,3.3863,0.1844,20.8023,0.8845,3.8269,433960.5794,1597377.621
000613.SZ,5.6,18.09,667.4544,4570.1843,24.7394,84.6156,0.0139,37.5855,72.5871,409.8036,203896,658656.9
000615.SZ,4.97,27.23,9.5795,266.2575,1.9122,12.0641,0.0525,67.2719,1.0974,8.7195,157276.2458,2052058.947
000616.SZ,2.05,16.53,10.0047,622.5845,0.7596,5.5936,0.0306,27.3429,1.6798,61.1372,293198.0571,2364177.505
000617.SZ,8.27,23.13,10.3679,31.5661,1.1872,20.7894,0.0205,25.2886,2.3516,365.4048,237794.9184,19956424.83
000619.SZ,5.07,22.55,24.0263,4004.1981,0.7461,3.4697,0.152,19.1922,0.6021,2.1535,182520,811800
000620.SZ,3.88,18.4,8.0105,83.0606,1.1079,6.2527,0.1357,16.9951,0.743,9.8232,735915.883,3489910.373
000622.SZ,2.5,19.25,29.7116,3900.0046,5.7871,46.0805,0.1876,59.869,10.0325,151.6948,106306.5,818560.05
000623.SZ,13.79,46.08,7.8029,27.7121,0.7691,3.1157,0.1675,16.7333,4.8128,18.3903,1603465.943,4121572.299
000625.SZ,5.68,25.85,5.4942,17.2452,0.5765,4.7016,0.1351,11.4359,0.3323,2.278,2727904.354,12053560.59
000626.SZ,5.53,125.72,17.9406,101.5446,1.2887,32.1908,0.0523,35.7034,0.0349,0.5499,159367.5,2545830
000627.SZ,5.02,16.95,16.0234,233.1806,1.3213,16.0548,0.137,45.0473,0.6335,80.2853,817568.2791,5266710.69
000628.SZ,6.26,23.41,43.4587,389.5983,2.5877,19.3301,0.5863,34.3547,0.8536,5.3944,188094.36,729174.68
000629.SZ,1.88,6.61,11.4625,109.2069,1.0555,8.1177,0.4605,22.3812,1.0507,3.4597,1614872.286,5677822.24
000630.SZ,1.95,17.03,25.1632,220.0319,1.1552,2.8947,0.2144,36.0269,0.1716,0.4527,1329202.271,4273607.727
000631.SZ,2.67,12,5.3402,62.4244,1.0657,4.6254,0.2396,24.9986,1.1312,4.4801,649482.6179,1683270.702
000632.SZ,3.36,17.38,44.3018,723.8895,1.218,6.4139,0.1278,20.5095,0.1949,2.0074,156414.5755,809073.0127
000633.SZ,3.38,26.71,63.3218,1210.3506,7.8779,53.2568,0.0441,20.2354,12.4645,137.3007,130165.9541,1028619.122
000635.SZ,7.85,34.13,20.637,661.5424,0.8688,3.6584,0.4724,32.4396,1.2652,6.7109,237923.7676,1034437.986
000636.SZ,6.5,24.2,9.6074,171.4419,1.4342,4.7703,0.0243,23.1847,1.877,7.3819,436128.1028,2166464.129
000637.SZ,3.41,13.9,25.1761,97.1936,2.0884,8.6834,0.1295,28.6176,0.4235,1.9035,177277.4964,722626.7448
